"","name","summary","b","I2","R2","vb","lb","ub","n","crop_data","tau2_se","tau2","QE","QEp","QM","QMp","pval","M_label"
"1",NA,TRUE,NA,"I² (%)","R² (%)",NA,NA,NA,"n","Crop",NA,NA,NA,NA,NA,NA,NA,"Response gradient (x10⁻⁴)"
"2","Yield - Cotton",FALSE,-2.58767900866366,"74.38","80.76",-0.00638133670233999,-3.20447655125462,-1.9708814660727,"23","Cotton",0.00184566997242697,0.00456393249506947,98.3346755977465,5.67892062720172e-12,67.6132354113786,1.98927695629181e-16,1.98927695629182e-16,"-2.59  [ -3.2 , -1.97 ]"
"3","Yield - Potato",FALSE,-0.16182213860489,"73.37","4.6",-0.00926114422657622,-0.648828669559741,0.32518439234996,"12","Potato",0.00258609886799548,0.00464772247068881,45.0622228273756,2.11923028529619e-06,0.424133410008581,0.514881725769509,0.514881725769509,"-0.16  [ -0.65 , 0.33 ]"
"4","Yield - Maize",FALSE,0.389650014581414,"78.78","12.03",-0.0072118714619735,-0.0987526513535144,0.878052680516343,"19","Maize",0.00336586678265899,0.00780783368300557,93.7706229876095,1.25104481905381e-12,2.44506001745739,0.117895375879093,0.117895375879094,"0.39  [ -0.1 , 0.88 ]"
"5","Plant height",FALSE,-2.46003371717295,"83.89","76.27",-0.00478156971990559,-3.12241589101753,-1.79765154332837,"21","all",0.000812256099130082,0.00211954831652434,117.414997184163,3.36872853949302e-16,52.9859870438121,3.35936448175092e-13,3.35936448175092e-13,"-2.46  [ -3.12 , -1.8 ]"
"6","Root weight",FALSE,-4.72980144526414,"92.1","62.33",-0.0395765818890125,-6.56629865494656,-2.89330423558172,"24","all",0.00612473719750645,0.0151272655164571,270.878173172694,9.33832597394412e-45,25.4801192189003,4.46965010723511e-07,4.46965010723511e-07,"-4.73  [ -6.57 , -2.89 ]"
"7","Soil water evaporation capacity",FALSE,-2.37327588870129,"94.28","15.88",-0.0327818430957616,-4.31556220954783,-0.430989567854745,"26","all",0.00615127020333002,0.0192109161543207,357.770459070997,3.27861296403264e-61,5.73543197350206,0.0166259782372984,0.0166259782372984,"-2.37  [ -4.32 , -0.43 ]"
"8","Soil water infiltration rate",FALSE,-7.8588905618408,"98.71","38.27",-0.127488005425437,-11.605719546143,-4.11206157753858,"30","all",0.0324456952932368,0.115482636505397,958.832419804123,7.22909135949124e-184,16.9001641129306,3.93981762731632e-05,3.93981762731632e-05,"-7.86  [ -11.61 , -4.11 ]"
"9","SOM",FALSE,-0.751607065086375,"14.04","80.75",-0.00591207226573358,-1.3876120374707,-0.115602092702045,"9","all",0.000865779454067455,0.000294425552718399,10.6001204659116,0.157037624016577,5.36484115361307,0.020546659498026,0.020546659498026,"-0.75  [ -1.39 , -0.12 ]"
"10","Olsen-P",FALSE,-4.68558498638929,"89.56","87.96",-0.0285322446461264,-5.9551117063915,-3.41605826638707,"9","all",0.00557198428490364,0.00992603976941542,84.6286726582994,1.56155501774307e-15,52.3287220786343,4.69457744269801e-13,4.69457744269802e-13,"-4.69  [ -5.96 , -3.42 ]"
